order	family	scientificName
	Mythicomyiidae	Pieza angusta
	Mythicomyiidae	Mythicomyia armata
	Mythicomyiidae	Mythicomyia atra
	Mythicomyiidae	Mythicomyia californica
	Mythicomyiidae	Mythicomyia ornatula
	Mythicomyiidae	Glabellula fasciata
	Mythicomyiidae	Glabellula rotundipennis
	Mythicomyiidae	Glabellula
	Mythicomyiidae	Mythicomyia communis
	Mythicomyiidae	Mythicomyia compta
	Mythicomyiidae	Mythicomyia cressoni
	Mythicomyiidae	Mythicomyia concrescens
	Mythicomyiidae	Mythicomyia desertorum
	Mythicomyiidae	Mythicomyia diropoda
	Mythicomyiidae	Mythicomyia illustris
	Mythicomyiidae	Mythicomyia intermedia
	Mythicomyiidae	Mythicomyia minima
	Mythicomyiidae	Mythenteles propleuralis
	Mythicomyiidae	Mythicomyia parma
	Mythicomyiidae	Mythicomyia picta
	Mythicomyiidae	Mythicomyia salpinx
	Mythicomyiidae	Mythicomyia schlingeri
	Mythicomyiidae	Mythicomyia scutellata
	Mythicomyiidae	Mythicomyia trifaria
	Mythicomyiidae	Mythicomyia uncata
	Mythicomyiidae	Mythicomyia
	Mythicomyiidae	Mythicomyia rileyi
	Conocephalidae	Conocephalus fasciatus vicinus
	Conocephalidae	Conocephalidae
	Conocephalidae	Concocephalus fasciatus vicinus
	Conocephalideae	Conocephalus fasciatus vicinus
	Conocephalidea	Conocephalus fasciatus vicinus
	Mantidea	Yersiniops newboldii
	Mantidea	Mantidea
	Raphididae	Agulla
	Blaber1dae	Diploptera punctata
	Ce	Centrodera autumnata
		Thysanura
Poales	Poaceae	Ammophila pruinosa
	Thomisidaec	Xysticus californicus
	Conocephalidae	Conocephalus fasciatus vicinis
	Conocephalidae	Conocephalus fasciatus fasciatus
	Conocephalidae	Conocephalus fasciatus
	Antrodietidae	Antrodiaetus riversi
	Antrodietidae	Aliatypus janus
	Antrodietidae	Aliatypus erebus
	Antrodietidae	Aliatypus
	Aranaeidae	Metepeira spinipes
	Aranaeidae	Metepeira gosoga
	Aranaeidae	Metepeira grandiosa
	Aranaeidae	Metepeira foxi
	Aranaeidae	Metepeira arizonica
	Aranaeidae	Neoscona oaxacensis
	Aranaeidae	Metepeira ventura
	Aranaeidae	Eustala rosae
	Aranaeidae	Eustala californiensis
	Aranaeidae	Zygiellia dispar
	Aranaeidae	Eustala
	Aranaeidae	Eustala anastera
	Aranaeidae	Aranaeidae
	Aranaeidae	Neoscona crucifera
	Aranaeidae	Neoscona
	Aranaeidae	Aculepeira packardi
	Aranaeidae	Larinioides patagiatus
	Aranaeidae	Aculepeira
	Aranaeidae	Araneus bispinosus
	Aranaeidae	Araneus andreussi
	Aranaeidae	Larinioides
	Aranaeidae	Araneus gemmoides
	Ascaidae	Ascaidae
	Dermaptera	undetermined
	Dermaptera	Undetermined
	d	undetermined
	Conocephalidae	Conocephalus occidentalis
	Conocephalidae	Conocephalus Occidentalis
	Conocephalidae	Conocephalus occientalis
	Conocephalidae	Conocephalus strictus
	Conocephalidae	Conocephalus saltans
